	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	1q	2q	3q	4q	5q	6q	7q	8q	9q	10q	11q	12q	16q	17q	18q	19q	20q	1p	2p	3p	4p	5p	6p	7p	8p	9p	10p	11p	12p	16p	17p	18p	19p	20p
COLO792_SKIN	-1	0	0					-1	-1			0	0	-1		-1		0		0			-1	0	0	0		-1	1	-1				0	-1	1	0		0	-1	0	0	-1	0			-1		0	0	0	-1		0	-1	0
COLO800_SKIN	0	0		-1		0		0	-1	-1	-1	-1		-1	1	-1	0	1	-1	1	0	0	0	0	1	-1	-1	0	0	0	-1	-1	-1	-1	-1	0	1	-1	1	0	0	-1	-1	1	0	1	0	-1	-1	-1	-1	-1	0	1	-1	1
COLO818_SKIN	0	0		-1			1	0	-1	-1	-1	0		-1	1	-1		0	-1		-1	1	0	0	0	-1	-1	0	1	0	-1	-1	-1	0	-1		0	-1		0	0	-1	-1	1	-1	1	0	-1	-1	-1	0	-1	0	0	-1	0
COLO829_SKIN		0	1		-1		1	1	1	-1	0	0	1	0			0	0	0	1	0	1	1	0	1	1	-1	0	1	1	1	-1	0	0	-1	0	0	0	1		0		-1	-1	1	1	1		0	0	0	0	0		0	1
COLO849_SKIN		0	1	-1	-1	0	1	0		-1	-1	-1	-1	0		-1	0	-1	0	1	0	1	0	0	1	-1	-1	0	1	0	0	-1	-1	-1	-1	0	-1	0	1	-1	0		-1	-1	0	1	0		-1	-1	-1	-1	0	-1	0	1
CORL105_LUNG		0			0		0			0			0	0	0	0	0	0	0	0		-1	0	0	0		0	-1	0		0	0			0	0	0	0	0	-1	0		-1	0	0	0	-1	-1	0	0	0	0		0	0	0
CORL23_LUNG	0	0		0		0	0	0	0	0	1	0		1		1		0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1		0	0	1	0	0	0	0	1	0	0	0		0	1	0	1	0	0	0	1
CORL24_LUNG	0	0		-1		0	0	0	-1	0	0	0	-1	0		-1	0	0	0			0	0	0		-1		0	0	0	-1	0	0	0	-1	0	0	0	1		0	-1	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	0
CORL279_LUNG	0	0		-1		0	0	0		-1	0	0	-1	0	-1		0	0		0	0	0	0	0		-1	-1	0	0	0		-1	0	0	-1	0	0	0	0	0	0	-1		1	0	0	0	0	-1	0	0	0	0	0		0
CORL311_LUNG		0				1	1		-1		1		1		0	0	1	1	0	1	1	0	1		0		-1	1	1	0	-1	0	1		0	1	1	0	1	0	0	-1	1	1	1	1	1	-1		1		0	1	1	0	1
CORL47_LUNG	0	0		0	0		0	0	0	-1	0		0	0	0	0		1	0	0	0	0	0	0	1	0	0		0	0	0	-1	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	-1	0	-1	0	-1	1	0	0
CORL51_LUNG	0	0				0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	1		-1	0	0	0	0	0	0	0	0		0	0	0	0	0	-1			0	0	0	0	0		0	0	0	0	0	0
CORL88_LUNG	0	0		0		0	0				0			0	-1	0		0		0	-1	-1		0	0	0	-1	0	0		1		0	0	0		0		0	0	0	-1	0	1	0	0		0		0	1	0	-1	0	0	0
CORL95_LUNG	0	0		0		0		0	0	-1		0			-1	-1			0		-1	0				0	-1	0	0	0	0	-1		0	-1	0	1	0		0	0	-1	0	1	0		0	0	-1	0	0	-1	-1	-1	0	1
COV318_OVARY	1	1		-1			1	-1	-1			-1	-1	1	-1		-1			1	0	-1	1	1		-1			1	-1	-1	-1		-1		-1			1	1	1	-1	-1	0	0	1	-1	-1	0	-1		0	-1			1
COV362_OVARY	0	0	0	0			0			0		0	-1		0							-1	0		0						0	0		0					0	0	0	0	0	0	0	0	-1	-1	0		0	0	-1	-1		-1
COV434_OVARY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COV504_OVARY		-1		-1	0		0		0	0		0	0	-1	0	0		0	-1	0	-1	-1	0			-1	0	0	0	0	0	0		0	0		0		0	-1	-1		-1	0	-1	0		0		0	0	0	-1	0	-1	0
COV644_OVARY	0	0	0	-1		0	1	-1	-1	-1			-1	-1			-1	-1		-1	0	-1	0	0	0	-1		0		-1	-1	-1	0		-1	-1	-1	0	-1		0		-1	1	0	1	-1	-1	0	-1	0	0	-1	1		-1
CPCN_LUNG	0	0		0	0		0	0	0	0	0	0		0	1	0		0		1	0	0	0	0	1	0	0		0	0	0	0	0	0	0	1	0	0	1	0	0	-1	0	0	1	0		0	0	0	0	0	0	0	1	1
CW2_LARGE_INTESTINE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D283MED_CENTRAL_NERVOUS_SYSTEM		0	0	0	0	0	-1		0	0	0	0		0	0			0	0	0	0	0	1	0	0	0	0	0	-1		0	0	0	0		1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0		0	0	0
D341MED_CENTRAL_NERVOUS_SYSTEM		0	0	0	0	1	0	1	0	0	0	0	0	0	0	0		1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	-1	1	0	0
DANG_PANCREAS	0	0		-1		0	1			0	1				-1	0		-1	0		0		0			-1		0	1		1	0	1		0		-1	0	1	0		-1	-1	1	0			-1				0	-1	-1	0	
DAOY_CENTRAL_NERVOUS_SYSTEM	1	1					1		1	0	0		0	1	0	0	1	0	1	0	1	0	1		1	-1	1			0	1	0	0		0		0	1	0	1		0	0	0	1	1			0	0	1		1		1	0
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	-1	-1			0	-1	1	-1	1			0	1	-1	1	-1	0	-1		1	1	0	-1	-1	0	-1	0	-1	1	-1	1	0		0	-1	0	-1		1		-1			0	-1	1	-1			0	0	-1	0	-1	0	1
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0		-1	0		0	1	1			1	0		0	-1	0	0		1	1	1	0	0	-1		0		0	1		0		1	0	0	0		1	1	0	0	-1		1	0	1	1	1	1	1	0	0		1	1	1
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE			0	0	0	0	0	0	-1		0	0	0	0	0	0			-1	0	0	0			0	0	0	0	0	0	-1		0	0	0	0		-1	0	-1		0	0	0	0	0	0	-1	-1	0	0	0	-1	-1	-1	0
DETROIT562_UPPER_AERODIGESTIVE_TRACT		0								-1		0	0	1		0	0	-1					0	0	1		0	-1			0	-1		0	0	0	-1	-1	1	-1		-1	0	1	0	0		-1		0		0		-1	0	-1
DKMG_CENTRAL_NERVOUS_SYSTEM	0	0	0	0	0		1	0		-1	0	0	-1		0		0	0	0	0	0	0	0	0	0	0	0		1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	0	0		0	0	0	0
DLD1_LARGE_INTESTINE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DM3_PLEURA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMS114_LUNG			0		0				-1	1	-1	0	-1	-1		0	0	0			0	-1	0		0		0		0	1	-1	1	-1	0	0	0	0			1				0	1	1	-1	-1	1		0	0		0		
DMS153_LUNG		0				0			0		0	0	0	0	-1	0		0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0		0	-1	-1	1			-1	0	-1	0	0	0	-1	-1	0	0
DMS273_LUNG	0	0		-1	0	0	1	-1	0	-1	-1	-1	-1	0	-1	0		0	0	0	0	-1	0	0	1	-1	0	0	1	-1	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	0	0	1	-1	0	-1	-1	-1	0	-1	0	0	0
DMS454_LUNG	0			-1								1			0			1				-1			1	-1		-1		1				1	0	1	1	0			-1	-1	-1	1	0			0	-1				-1	1	-1	
DMS53_LUNG		0	-1		0		1		-1	0			-1	-1	-1					0	-1	-1			-1	-1	0		1	1		0							0			-1	1		0			-1			1	-1		1	-1	0
DMS79_LUNG		0		-1	-1	0	0			-1		0		1	-1	-1		0	0	-1	0	-1	0	0	0	-1	-1	0	0			-1			-1		0	0			0	-1	-1	-1		0	0	0	-1	0	0	-1			0	-1
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DOV13_OVARY	1	0	0	0	0		0			0	0	0		0		0			0	0	1		1	0	0	0	0			0	1	0	0	0	0			0	0		0	0		0	0	0				0	0	0	0	-1	0	0
DU145_PROSTATE							0	0		0			-1	1	-1		0				1		0	-1		-1	0	-1	0	0	0	0	0	0	0	0			0	-1	0	-1	0	1	0	0	0			-1	-1	-1	0	1		-1
DU4475_BREAST		0	0	0		0		0	0	0	0	0	0	0	0		0	-1	0	0	0		1	0	0	0			1	0	0	0	0	0		0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0
DV90_LUNG		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0			-1	0	-1		-1	0	0		0	0		0	-1	0	0	0	0	0	0	0		0	-1	0			-1		0	-1	0	-1	0	0	0	0	0		1		0	-1	0	-1	0	0	0	0	-1	0	0
EBC1_LUNG		-1			0								-1		-1		0			1	-1	-1	-1		1		0	-1		1	0					0	1	0	1	0		-1	-1		0	1	-1	-1	-1	-1	1	0	0	0		
ECC10_STOMACH		0	0	-1		0	1	1	0	-1	0	-1	-1	0	0	-1	0			1	-1	-1	0	0	0	-1	-1	0	1	1	0	-1	0	-1	-1	0			1	-1	0	0	-1	0	0	1	1	0	-1	0	-1	-1	0	0	1	1
ECC12_STOMACH		0		0		0			0						0	0		0			0	0	1	0		0	0	0	0		0	0			0	0	0	1			0	0		1	0		0	0	1	0	0	0			0	0
ECGI10_OESOPHAGUS				-1						-1	-1				-1				-1		-1		0			-1		0	-1	0		-1	-1				-1	-1		-1	0	-1				0	-1	1	-1		1	0	1	1	-1	
EFE184_ENDOMETRIUM			0	-1		0		0	0	0		0	0	0	-1	0	0	0	0	1		-1			0	-1		0	0	0	0	0		0	0	0	0	0	1	0	1			0	0		0	0	0	0	0	0	0	0	0	1
EFM192A_BREAST		0		0	0	0					-1			0		0		-1		-1	-1	-1	0	0	0	0	0	0	0		0	0	-1	0	0		-1	0			0		0	0	0	-1	0			-1	-1	0		-1	-1	-1
EFM19_BREAST						1					-1							-1	0			-1	1		1		-1	1		1					-1		-1	0	1				-1	0		0	-1			-1	0	0		-1		
EFO21_OVARY	0	0			1	0		0	-1	-1			-1		0	0					-1	-1		0			1	0			-1	-1	1		0				1	0		-1				0		-1	-1	-1	-1		0	0		
EFO27_OVARY	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0								1	-1		-1	-1				0	0			0	0	0	0		-1	0	-1		0	1	-1	1	-1	-1	0	0				1		0	1		0	-1	1			-1			1	1	0
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0			1	0	0	-1		0		0	-1	0			0	0	0	0		0	0	0			1	0	0			0			1	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	-1	-1	0	0	0
EN_ENDOMETRIUM		0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	1	0	1	0	1		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1		0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0
EPLC272H_LUNG									0								0				0	1						-1		1	0				0	0	-1	-1	1		-1		-1	1	1			0	-1	0	1	-1	0	1	1	
ES2_OVARY		0	0	-1	0	1			0	1	0		0	0	0		0		0		-1	0	0	0	0	-1	0	1			0	1	0	0			-1	0	1		0	0			1	1		0	1	0	1	0			0	
ESS1_ENDOMETRIUM	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0
EVSAT_BREAST		-1				1				-1		0			-1	0			0	-1	0	1			0			1	1		0	-1	0	0				0		0	-1		-1	1	1			-1	-1		0	0	-1	0	0	-1
EW8_BONE	0			0		0	1							-1	0		0				1		0			0	0	0	1			0	0		-1	0			1	0		-1	0		0	1	0		-1		1		0	0	0	-1
EWS502_BONE	1	1					0	1				1	0	0	1	1	0	0	0	1	0	1	1	1		-1	-1		0	1	1		0	1	1	0	0		1	1			0	1		0	1		-1	-1	1	1	0	0	0	1
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0		0	0	0					0	0	0	-1	0	0			0		0	0	0	0		0	0	0		0			0	0	0			0	0	0	0	0		0	0		-1	0		0		0		-1	0		0
F5_CENTRAL_NERVOUS_SYSTEM	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
FADU_UPPER_AERODIGESTIVE_TRACT	0	-1		-1		0	0		-1				0			0	0		-1		-1		0	-1		-1	0	0	0		-1	0			0	0	-1		0				-1	1	0	0	-1		-1	-1	0	0	0	0	-1	-1
FTC133_THYROID		0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0		0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
FTC238_THYROID		0		0		1	1		1	0	0	0	0	0	0	0		0	1	1		1	0	0	1	0	0		1		1	0	0		0		0	1	1	1	0	0			1	1	0	1	0	0	0	0	1	0	1	1
FU97_STOMACH		-1					-1		-1	-1			1	-1		1		-1			-1		0	-1			0		-1		-1	-1			1		-1	1	1	-1	-1		1	1	-1	-1	0	-1	-1		1		-1	-1		-1
FUOV1_OVARY			1			0			-1							0				1	-1	-1	0		1		0	0			-1	0	1	0	0	0			1		0		-1	1	0	-1	-1	1	-1		1	0		1	-1	
G292CLONEA141B1_BONE					0	0		1		0			0		0	0	0								0	0	0		0		0	0		0	0	0		0			0		1	0	0	-1			0	0		0		1		1
G361_SKIN	0	0	1				1			-1		0		-1	1			1	1	1	0	1		0	1	0	-1	-1	1	1	1	-1		0		1	1	0	1		0	1	-1	1	0	1		-1	-1	1	0	0	-1	1	1	1
G401_SOFT_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G402_SOFT_TISSUE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAMG_CENTRAL_NERVOUS_SYSTEM					1	0	1	0		-1	0	0		-1	0	-1			-1	1	0	-1	-1			-1	1	0	1	0	0	-1	0	0	-1	0	-1	-1	1	0	0		1	1	0	1	0		-1	0	0	-1	-1	0	-1	1
GB1_CENTRAL_NERVOUS_SYSTEM				-1	0						0		-1	0			1	0	0	1		1	0			-1	0		0		0		0				0	0	1	1			-1	0	0	1	-1	-1	0	0				0	0	1
GCIY_STOMACH		-1		-1			1		-1	0		0	-1	-1				0			0	-1	0	-1	0	-1			0			0		0			0	1		0	0	-1	-1	1	0	1	0	-1	0	1	0	1	-1	0	-1	0
GCT_SOFT_TISSUE		0	0	-1				0	-1	0	1	0	-1		0	0	0	-1			-1	-1	-1	0	0	-1			-1	0	-1	0	1	0	0	0	-1	-1	1	0	0	0	-1		1	0	0	-1	0	1	0	0	0	-1	0	0
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		0	0	0	0	0
GI1_CENTRAL_NERVOUS_SYSTEM		0	0	0			1	1	0	0	0	0		0	1	0			0	1	0	-1	1	0	0	0					0	0	0	0	0				1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1
GMS10_CENTRAL_NERVOUS_SYSTEM	0	0	1	0			0	1	0	0	0			1	1	0		0	0	1	0	1	0	0	1	0		0	0	1	0	0	0		0		0	0	1	0	0	1	0	1		0	1	0	0	0	0	0	0	0	0	1
GOS3_CENTRAL_NERVOUS_SYSTEM		0	0	0	0		1	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	0	0	-1	1	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	0	0	0		0		-1	0	0	0	0	0	0	0
GP2D_LARGE_INTESTINE	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		0		0	0	0	0	0	0	0	0	0	0	0	0	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	-1	0	-1	0	0	0	0	0		0	0	0	0	-1	-1	0	-1
GRM_SKIN		0		-1		-1				0	0	0	-1	-1	0	0			0	1		-1		0	0	-1		-1				0	0	0	0	0		0	1		0	-1	-1	0	-1		-1		0	0		0	-1	0		1
GSS_STOMACH		0	0	-1		0		0	-1		1		0	-1				-1			0		0	0		-1		0	-1	0	-1	0	1	0		0	-1		1	-1		0	-1		0		0	-1		1	-1	0	-1	-1	-1	0
GSU_STOMACH	-1	-1	1	-1	-1	-1	1		0		0	0	-1		0	-1		-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	0	0		0	0	-1	0	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	0	-1	0	0	-1	-1	-1	-1	-1
H4_CENTRAL_NERVOUS_SYSTEM	0	0					1	0				0	-1	0	0	0			1	0	1		0	0		0			1	0	0	0	0	0	0			1	0				1	1		1	0		-1	1		0		0		0
HARA_LUNG		0				-1				0	-1		-1		1					0	-1		0					-1			0	0	-1		1				0	-1				1	-1			-1	0			0		1	0	0
HCC1143_BREAST		-1		-1	0	0	-1		-1		-1	-1	-1	0								1		-1		-1	0	0	-1	1	-1		-1	-1	-1			0		-1		-1	-1		0		-1	-1	1	-1	-1		0			1
HCC1171_LUNG	-1	0	-1	0		-1	0		-1		-1		-1	0	-1	0		-1			0	-1		0	-1	0		-1	0	0	-1	-1	-1	-1	0	1	-1		1	-1	0	-1	0	1		0	-1	-1	0	-1	0	0	-1	-1	-1	-1
HCC1187_BREAST		0	0	0	0		1	1	1		1				0	0	0				1	0	1	0	0	0	0	0	1	1			1	0	0	0			0		0	0	0			1	1	1	1			0	0	1		1
HCC1195_LUNG				0			1		0			0			-1	-1					0			0	0	0			1	1				0	-1		-1		0		1		0	1	0			0	1			-1	0		-1	
HCC1359_LUNG	0		0	0		1	1		0		0		-1		0	0				1		0	0	1	0	0		1	1	1	0		0	0	0		-1	-1	1	0	0	0	0		1			0	0	0	1	0	1	1	1	1
HCC1395_BREAST	1					0				0	0		0	1		1				1	1		1				0	0	1			0	0	0					1		0			1	0		0		0	0	1	1				1
HCC1419_BREAST	0	0	0		0	0	0			0		0	0			0			0		0	0	0	0	0		0	0	0		0	0	-1	0	0		-1	0		0		0	0		0	0	0	-1	0	0	0	0		0	0	0
HCC1428_BREAST		0			0		0		0				-1		-1	0		-1			0	-1	0	0			0	-1	0	1	0				0		-1				0		-1	0	0	0					0	0	-1	-1		
HCC1500_BREAST	0			-1			0					0	-1			0		0	0		0		0						0		0			0	0		0	0			-1	-1	-1		0	0						0	-1		0	
HCC1569_BREAST		0			0			1				0	-1	-1			0		-1	1	1	1	1	0	1	0	0	-1	1	1		-1		0	-1			-1	1		0		-1	0		0		0			0	0	0	0		1
HCC1599_BREAST					0	1	0			0	0			0		0		1		0		0	1	0		0	0	1	0	1	1		0		0		1		0	0		0				0			0			0	-1	1	0	
HCC15_LUNG	0	0	-1	-1	0	0	0			0	0	0	-1		0	0		-1		-1	0		0	0	-1	-1	0	0	0	0	0	0	0	0	0		-1	0		0	0	-1		0	0	0	-1	-1		0	0	0	-1	-1	-1	-1
HCC1806_BREAST				0			0			1	1			0		0			1		0	0		0	1	0	0	0	0		0	1	1		0		-1	1	1	0				1	1					1		0	1	0		
HCC1897_LUNG	0				0	-1	0					0	-1	0		0			-1	0	0	-1						-1	0		0		0	0	0				0	0	0	-1	0	0	-1	0	-1	-1	-1	-1	0	0	-1	0	-1	0
HCC1937_BREAST		0				0								0	-1		0				-1									1				-1	1	0			1				-1	1			-1	0				-1	0	0		
HCC1954_BREAST			-1	-1			0			-1		-1	-1		-1								1			-1	-1	-1	0		0	-1		-1	1		-1			-1	-1	-1		1	0	0	-1		-1	-1		-1	-1	0	-1	
HCC202_BREAST							1			0			-1	0	-1							-1	1			0		-1	1	1	0	0				1	-1				1		-1	0		1	-1			0	-1			1	-1	0
HCC2157_BREAST					0							-1		-1	-1	-1		-1				-1	1		0				0	1			0	-1	-1		-1	-1	1	0			-1			-1	-1	1	1	-1	-1	-1	-1	-1	0	0
HCC2218_BREAST		0		0	1	0			0	0	0	0		0	0			0	0		0	0	1	0		0		0		1	0	0	0	0	-1		0	0			0			1	0	0	-1	0	0	0	0	0	-1	0	0	0
HCC2279_LUNG		0			0	0			-1	-1			-1		-1		0	-1		0	0	0	-1	0	0	-1	0	0	-1		-1	-1	0	-1	-1	0	-1		0		0	-1	1		0	1	-1	-1	-1	-1	1	1		-1		
HCC2814_LUNG							1		1					1							-1		1						1		1	-1	0	0		1	-1	1			1	-1		1		1			0	1	1	0	0	1	0	1
HCC2935_LUNG		0		-1			1	-1		-1	-1	-1	-1	0	0	0	0	-1	0		-1		0	0	0	-1	-1	-1	1	-1	0	-1	-1	-1	0	0	-1	0	0	-1	0	-1	-1	0	0		-1	-1	-1	-1	-1	0	0	-1	0	-1
HCC33_LUNG	0	-1		0	-1		0					-1		1		-1		0	-1	0	0	-1	0	-1		0	-1			0	-1	-1	0	-1	-1	0	0		0	0		-1	0	-1	0	0	-1	0	0	-1	1	-1	-1	0	-1	0
HCC364_LUNG		0	0	0		-1		0	0			0	-1		0			-1	0		0	1	1	0	0	0		-1	1	0	0			0		0	-1	0	1	0	0	0	0		-1	0	0	0	1		0	-1	-1	-1	0	-1
HCC366_LUNG					0		1		0		1	0		0	0			0				0			1		0	0	1		0	1	1	0	0		0		1		1	0	1		1	1	-1	0	-1	1	0			1	0	0
HCC38_BREAST	-1	0		0		-1																-1		0		0	-1					-1				0		0	0	-1				0					0	-1		-1	-1		-1	1
HCC4006_LUNG		1										0	0		0		0	-1	0			-1	1	1		0		0	0		0			0		0	-1			0	1	-1	1	1	-1	1	-1	1			0		0	-1		1
HCC44_LUNG	-1				0	-1	1	-1			-1		-1	1	-1			-1				-1	-1	-1	1		0	-1	1	-1	1	0	-1		1		-1	1		-1	0	0			-1	1	-1	-1	-1	-1	-1	-1			-1	1
HCC56_LARGE_INTESTINE		0		-1			0					0	1		0			-1	0			-1		0	1	-1		-1	0	0	0			0	0		-1	0		-1	0	0	-1	-1	0	0	-1	1	-1	1		1	-1	-1		0
HCC70_BREAST	1	-1		-1		-1	1				-1	-1	-1	0	-1	1	-1	-1	1		-1	0	1	-1	1	-1	-1	-1				-1	-1	-1	1	-1	-1	1		1	-1	-1	-1	1		1	-1	1	1	-1	-1	1	-1	-1		
HCC78_LUNG		0		0		0	0	0	0	0		0		0	0			0	0	0	0	0	1	0	1	0		0	0	0	0	0		0		1	0		0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0
HCC827_LUNG		0		0	0	-1	0	-1	0	-1			-1	0	-1			-1	-1	0		-1	0	0	0	0	0	-1	0	-1	0	-1	0	0			-1		0		0	-1	0	0	-1	0	-1	0		-1	1	-1	1	-1		0
HCC95_LUNG	-1			-1			0			-1			0	-1	-1	-1					-1	-1	-1			-1	0		0	0				-1	-1	1			0	-1		-1	-1	1	0	0		-1	-1	-1	1	-1	-1			
HCT116_LARGE_INTESTINE	0	0	0	0	0	0	0		0		0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		0		0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCT15_LARGE_INTESTINE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0			0	0				0	0	0	0	0	0			0		-1	0		0	0		0	0	0	0		0	0	0	0	-1		0		-1	0		0	-1		0		-1	1	0	0		0	0	-1		-1
